Line,GroupCode,ODPEstimate,ODPStandardDev,OutcomePercentile,Outcome
PA,14311,129455,21204,46.88,129106
PA,14443,93949,3853,94.97,96582
PA,15199,108631,1419,6.33,106528
PA,15393,18661,277,99,19351
PA,15660,53553,787,25.69,53090
PA,16373,9762,113,60.53,9780
PA,16799,34577,474,0,32851
PA,18163,129179,4426,75.61,130352
PA,18791,91698,4990,72.51,93075
PA,23574,20992,40071,52.93,21940
PA,25275,101026,25596,68.89,103629
PA,27022,63743,749,0,60411
PA,27065,42763,584,91.22,43585
PA,27499,2651,0,100,2921
PA,27766,1940,310,22.55,1877
PA,29440,66558,66077,81.38,71892
PA,31550,33061,13399,51.7,33123
PA,34509,18385,22855,56.32,19052
PA,34592,76757,1120,42,8776556
PA,34606,11541,374,90.77,12032
WC,86,1704258,23838,4.18,1667915
WC,337,564234,12467,99.92,610962
WC,353,36162,107451,73.53,35658
WC,388,1245905,282336,83.79,1309643
WC,671,97423,210135,48.44,99907
WC,715,248231,3679,7.27,242834
WC,1252,22612,40403,79.96,23620
WC,1538,133265,119668,60.97,134900
WC,1767,1837319,29482,59.71,1843847
WC,2135,613675,37590,84.32,642976
WC,2712,561612,552519,80.25,571527
WC,3034,170413,35757,18,162442
WC,3240,43981,619042,69.6,40544
WC,5185,109917,7598,19.41,106900
WC,6408,36086,1222,88.84,37533
WC,6807,167199,632154,98.11,194402
WC,7080,2036522,102434,40.15,2020225
WC,8559,84743,170793,41.23,81921
WC,8672,78099,9663,84.18,80320
WC,9466,151757,3153,100,164276
WC,10385,204850,406853,75.07,215563
WC,10699,268869,37845,51.66,267296
WC,11347,368637,5843,37.87,366468
WC,11703,74140,101565,22.19,65376
WC,13439,5988,14083,26.22,5701
WC,13528,26968,31093,37.44,26562
WC,14176,126054,2974,0,109695
WC,14320,11573,160741,76.71,11550
WC,14508,56967,1234,40.04,56590
WC,14974,29016,81471,71.76,31222
WC,15148,703,7121,43.89,752
WC,15199,1567,19613,30.6,1349
WC,15334,115497,47481,84.97,123153
WC,18309,12035,923,33.31,11699
WC,18538,2248,955,1.04,1738
WC,18767,183122,89783,43.28,180944
WC,18791,1698,14412,79.97,2107
WC,21172,173712,6962,1.96,159437
WC,23108,389064,8895,70.53,393048
WC,26433,16356,640,81.67,16829
WC,27529,8885,139007,52.65,7898
WC,30589,59505,2993,50.5,59545
WC,32875,32257,0,100,33604
WC,33499,11046,0,100,17614
WC,34576,34816,4323,3.62,32102
WC,35408,2717,45870,65.04,2667
WC,37370,49597,33250,21,46100
WC,38687,60022,59543,34.84,59318
WC,38733,198821,155204,92.95,203178
WC,41300,37889,621,54.82,37915
OL,620,337346,5852206,74.06,455387
OL,669,4926,0,0,4890
OL,671,6184,6743,46.66,6071
OL,683,15565,2570,84.02,16915
OL,715,67270,3319,28.81,65381
OL,833,18435,386784,22.16,11462
OL,1538,16353,26287,29.87,15961
OL,1767,2412566,95562,0.8,2207154
OL,2003,251949,13676,95.81,277202
OL,2135,72960,175842,93.93,92770
OL,2143,10583,17375,64.37,10836
OL,2208,2358,27870,76.74,2660
OL,3240,904425,85612334,46.64,14248
OL,5185,138149,2579,91.89,141675
OL,5320,6244,0,100,6671
OL,6459,11750,6493,5.74,9688
OL,6947,20064,1144,37.42,19790
OL,7625,10247,124000,54.39,9197
OL,10657,71081,100791,69.71,73457
OL,13501,2422,109984,44.24,2489
OL,13919,5264,7028,22.44,4713
OL,13994,1897,0,100,2129
OL,14044,4602,2069,81.35,4793
OL,14176,4767,1251,56.65,4783
OL,14257,32159,493,15.34,31670
OL,14370,1395,1268,62.35,1414
OL,14915,1035,901,24.03,849
OL,15113,2116,3927,72.97,2238
OL,15148,359,53,20.84,349
OL,15210,2363,5811,27.03,2148
OL,15571,17403,5607,28.49,16609
OL,17043,1023,75751,43.25,327
OL,17450,306,0,100,332
OL,17493,401,1104,10.44,307
OL,18163,6670,12594,83.39,7352
OL,18686,1073,0,100,1594
OL,24830,4601,0,100,5176
OL,26797,143656,442239,4.74,97460
OL,27065,20353,20647,41.49,20232
OL,28550,9916,532586,52.21,6419
OL,30449,383,15914,45.37,542
OL,30651,844,0,100,892
OL,32301,30321,0,100,33596
OL,33049,1930,366411,46.22,595
OL,36315,5296,371587,28.19,1053
OL,38733,26559,2658,16.81,24298
OL,41068,1641,1652,60.24,1674
OL,41580,5049,1639,93.1,5962
OL,42439,5220,1887871,75.23,33550
OL,43354,371,936,23.11,341
