Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
PA,14176,142994,2486,3.24,138457
PA,14257,115905,1112,40.86,115643
PA,14311,136832,2796,0.11,128523
PA,14443,99517,1120,0.31,96494
PA,15199,111629,1527,0.03,106435
PA,15393,20943,509,0.06,19351
PA,15660,52890,674,61.27,53079
PA,16373,9705,102,76.97,9780
PA,16799,34645,578,0.07,32834
PA,18163,133124,978,0.14,130229
PA,18791,92452,1020,72.34,93053
PA,23574,22517,491,11.74,21936
PA,25275,97205,1147,100,101929
PA,27022,63122,1013,0.19,60252
PA,27065,43896,577,27.93,43556
PA,27499,2714,96,94.82,2873
PA,27766,1997,77,5.61,1877
PA,29440,69842,1635,89.15,71870
PA,31550,33717,411,7.32,33123
PA,34509,19498,398,9.57,18981
PA,34592,79694,1285,0.59,76514
PA,34606,11255,468,93.12,11961
WC,86,1759204,58633,0.45,1611800
WC,337,586854,7017,64.54,589435
WC,353,35142,571,21.36,34687
WC,388,1135451,28795,99.95,1233553
WC,671,97175,2806,42.15,96581
WC,715,234682,1796,93.05,237347
WC,1252,23117,386,20.35,22796
WC,1538,134137,1728,13.6,132241
WC,1767,1739672,20578,55.89,1742600
WC,2135,613158,6693,2.66,600316
WC,2712,571868,4809,0,541325
WC,3034,155093,3557,7.11,149921
WC,3240,39745,810,56.14,39862
WC,5185,103097,1766,67.94,103908
WC,6408,34428,926,99.86,37291
WC,6807,180997,4417,98.46,190736
WC,7080,1828610,10935,76.78,1836596
WC,8559,76010,1529,11.8,74205
WC,8672,70420,472,100,72813
WC,9466,158320,3198,44.11,157815
WC,10385,223047,3483,4.66,217250
WC,10699,298268,7282,0,261085
WC,11347,365494,5559,0.32,350602
WC,11703,63909,2516,0.19,56968
WC,13439,6395,499,5.7,5637
WC,13528,27608,999,12.86,26482
WC,14176,112136,1884,0.26,106986
WC,14320,11006,320,88.44,11391
WC,14508,57809,1236,0,52431
WC,14974,30858,571,22.58,30426
WC,15148,813,39,5.45,752
WC,15199,1437,133,26.17,1349
WC,15334,84413,1774,99.82,89706
WC,18309,11876,496,13.38,11329
WC,18538,2118,124,0.04,1738
WC,18767,178660,1994,0.18,172944
WC,18791,1860,129,89.25,2022
WC,21172,169674,3342,0,154457
WC,23108,369687,7393,78.23,375422
WC,26433,16527,404,20.96,16199
WC,27529,7787,311,46.94,7757
WC,30589,57843,2742,73.32,59508
WC,32875,31438,1061,76.94,32211
WC,33499,10135,2220,97.23,14986
WC,34576,33722,881,0.22,31293
WC,35408,2536,1072,62.81,2667
WC,37370,48478,1487,0.96,45100
WC,38687,61702,1276,0.18,58077
WC,38733,193280,1823,97.03,196739
WC,41300,38278,454,8.35,37653
OL,620,414995,14440,95.44,439839
OL,669,5407,10947,71.23,4894
OL,671,6070,1628,55.29,6072
OL,683,13965,1419,94.01,16266
OL,715,63612,3022,49.78,63524
OL,833,13964,1407,1.39,11137
OL,1538,19320,1595,1.11,15945
OL,1767,2640829,178437,0.31,2190615
OL,2003,284955,64470,46.77,272941
OL,2135,100146,8278,15.31,91726
OL,2143,9586,590,97.77,10826
OL,2208,2157,1021,72.62,2555
OL,3240,13606,702,78.17,14144
OL,5185,144168,2587,11.04,141013
OL,5320,6705,220,34.11,6612
OL,6459,10425,1304,25.77,9539
OL,6947,19604,450,58.53,19696
OL,7625,8750,678,69.55,9076
OL,10657,84290,5100,0.56,72172
OL,13501,2137,169,98.09,2509
OL,13919,4422,312,78.03,4658
OL,13994,2231,513,46.31,2129
OL,14044,4750,243,57.04,4787
OL,14176,4964,403,30.2,4744
OL,14257,31700,772,37.22,31440
OL,14370,1702,246,11.17,1414
OL,14915,1323,500,13.14,822
OL,15113,1643,221,98.17,2154
OL,15148,380,62,32.85,349
OL,15210,2197,273,30.66,2048
OL,15571,15649,862,84.83,16536
OL,17043,353,119,47.24,327
OL,17450,351,61,40.66,332
OL,17493,433,40,0.01,308
OL,18163,6614,482,82.41,7059
OL,18686,1062,183,99.21,1582
OL,24830,3953,2084,79.33,5243
OL,26797,102593,24152,41.68,95110
OL,27065,21143,811,10.38,20131
OL,28550,6073,1357,59.39,6246
OL,30449,483,27,98.32,543
OL,30651,875,72,60.85,892
OL,32301,55752,231793,70.1,32031
OL,33049,335,110,97.47,595
OL,36315,1172,269,35.19,1048
OL,38733,25732,2346,25.15,24111
OL,41068,2094,197,0.97,1674
OL,41580,4386,411,99.89,5820
OL,42439,32501,26162,61.84,31327
OL,43354,337,69,55.19,339
