Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
PA,27499,2746,112,93.77,2921
PA,27766,1936,83,24.17,1877
PA,29440,67904,2046,97.19,71892
PA,31550,33118,372,50.76,33123
PA,34509,18719,515,74.37,19052
PA,34592,76850,851,36.67,76556
PA,34606,11556,260,96.45,12032
WC,86,1702347,20832,4.81,1667915
WC,337,564372,8322,100,610962
WC,353,34740,403,98.79,35658
WC,388,1249609,22682,99.53,1309643
WC,671,99899,2726,50.66,99907
WC,715,248003,2859,3.43,242834
WC,1252,22350,570,98.54,23620
WC,1538,133169,1295,90.87,134900
WC,1767,1836934,26990,60.37,1843847
WC,2135,609569,26135,89.73,642976
WC,2712,556262,7867,97.27,571527
WC,3034,169305,6016,12.57,162442
WC,3240,39056,714,98,40544
WC,5185,109936,2808,13.92,106900
WC,6408,36191,947,92,37533
WC,6807,172720,2676,100,194402
WC,7080,2035642,34202,32.85,2020225
WC,8559,83211,1565,20.57,81921
WC,8672,77673,606,100,80320
WC,9466,151779,3122,99.99,164276
WC,10385,200911,7262,97.54,215563
WC,10699,267622,7532,48.83,267296
WC,11347,368770,4096,28.83,366468
WC,11703,72111,5528,10.7,65376
WC,13439,6243,515,14.42,5701
WC,13528,27094,927,28.68,26562
WC,14176,125635,3138,0,109695
WC,14320,10734,272,99.82,11550
WC,14508,56968,884,33.68,56590
WC,14974,30073,930,89.03,31222
WC,15148,769,38,33.43,752
WC,15199,1426,80,16.8,1349
WC,15334,116265,4734,92.43,123153
WC,18309,12037,533,26.72,11699
WC,18538,2204,222,1.03,1738
WC,18767,181692,3635,42.22,180944
WC,18791,1868,141,94.9,2107
WC,21172,173265,7378,2.66,159437
WC,23108,388516,7190,73.76,393048
WC,26433,16375,523,80.85,16829
WC,27529,7761,767,58.97,7898
WC,30589,60214,1241,29.74,59545
WC,32875,32312,583,99.24,33752
WC,33499,11547,7074,84.86,17614
WC,34576,34957,1126,0.43,32102
WC,35408,2558,184,73.13,2667
WC,37370,49594,1941,3.23,46100
WC,38687,60656,1195,13.08,59318
WC,38733,196405,2758,99.23,203178
WC,41300,37878,553,52.96,37915
OL,620,401895,14946,99.96,455387
OL,669,4985,701,47.54,4894
OL,671,6230,665,42.48,6071
OL,683,15523,977,91.88,16915
OL,715,67218,2248,20.84,65381
OL,833,15649,1485,0.06,11462
OL,1538,17001,1134,18.03,15961
OL,1767,2407897,90546,1.08,2207154
OL,2003,251352,11429,98.52,277202
OL,2135,75907,6523,99.14,92770
OL,2143,10638,501,66.1,10836
OL,2208,1978,407,94.02,2660
OL,3240,14302,905,48.87,14248
OL,5185,138209,2106,94.88,141675
OL,5320,6343,253,90.05,6671
OL,6459,11687,1003,1.59,9688
OL,6947,20043,615,34.5,19790
OL,7625,8924,501,71.4,9197
OL,10657,70423,3631,80.08,73457
OL,13501,2623,304,34.6,2489
OL,13919,5271,546,15.12,4713
OL,13994,1974,137,86.97,2129
OL,14044,4611,136,90.78,4793
OL,14176,4754,197,56.65,4783
OL,14257,32166,421,11.88,31670
OL,14370,1360,175,64.35,1414
OL,14915,974,355,41.59,849
OL,15113,2030,168,88.91,2238
OL,15148,359,21,32.49,349
OL,15210,2287,207,25.82,2148
OL,15571,17435,792,14.77,16609
OL,17043,335,106,53.04,327
OL,17450,332,49,52.93,332
OL,17493,399,38,0.37,308
OL,18163,6816,490,86.22,7352
OL,18686,1266,140,98.4,1594
OL,24830,9174,2684,4.5,5416
OL,26797,143825,19427,0.24,97460
OL,27065,20599,637,28.57,20232
OL,28550,6793,1481,43.84,6419
OL,30449,542,59,52.84,543
OL,30651,834,37,93.8,892
OL,32301,38374,145651,77.23,33596
OL,33049,442,213,81.03,595
OL,36315,1373,345,17.14,1053
OL,38733,26485,2142,15.22,24298
OL,41068,1616,144,67.04,1674
OL,41580,5071,367,98.86,5962
OL,42439,26399,3699,96.32,33550
OL,43354,384,46,17.48,341
